unixtime,equiv_cores,pkg_temp_c,max_core_temp_c,freq_p_mhz,freq_e_mhz,freq_lpe_mhz,util_cpu0
1789830854.256,12.192,101.000,101.000,4220.677,3296.663,2395.655,0.500
1789830854.363,12.386,101.000,101.000,4190.070,3033.075,2260.503,0.667
1789830854.467,10.879,101.000,101.000,3296.416,2136.529,1098.664,0.727
1789830854.569,7.033,101.000,101.000,3972.394,3296.808,2299.983,0.200
1789830854.674,12.129,101.000,101.000,4159.797,3296.517,2395.443,0.600
1789830854.780,12.112,101.000,101.000,4262.777,3301.415,2345.111,0.600
1789830854.886,12.525,101.000,101.000,4055.291,3223.493,2300.068,0.636
1789830854.989,3.500,101.000,101.000,1722.769,400.000,1359.143,0.182
1789830855.093,9.818,101.000,101.000,3677.384,3309.190,2349.711,0.400
1789830855.201,10.482,101.000,101.000,4321.928,3301.389,2199.997,0.400
1789830855.303,11.282,91.000,99.000,4183.260,3278.438,1744.430,0.500
1789830855.412,12.600,91.000,100.000,4354.124,3301.336,2430.207,0.600
1789830855.517,4.153,91.000,100.000,2197.230,400.000,1834.682,0.273
